% 1. Title: 2015 NCAA Basketball Season
%
% 2. Sources:
%      (a) Creator: Reed Wilson
%      (b) Date: March 9, 2015

@relation 2015

@attribute location                           { h, a, n }
@attribute points_for                         real
@attribute points_against                     real
@attribute field_goal_percent                 real
@attribute free_throw_percent                 real
@attribute three_point_percent                real
@attribute efficient_field_goal_percent       real
@attribute points_per_weighted_shot           real
@attribute turnover_rate                      real
@attribute blocks                             real
@attribute fouls                              real
@attribute offensive_rebounds                 real
@attribute total_rebounds                     real
@attribute steals                             real
@attribute assists                            real
@attribute possessions                        real
@attribute offensive_points_per_possession    real
@attribute defensive_points_per_possession    real
@attribute outcome                            { w, l }

@data
a,50,61,34.0,90.9,40.0,37.7,0.86,17.4,4,23,6,30,4,8,63,0.79,1.01,l
a,49,64,40.0,66.7,25.0,43.0,0.90,19.9,1,21,10,25,7,6,55,0.89,1.17,l
h,47,57,38.3,50.0,10.0,39.4,0.83,18.0,3,18,11,34,1,7,56,0.85,1.09,l
a,47,70,36.0,63.6,28.6,40.0,0.85,15.2,2,17,5,25,3,10,59,0.79,1.19,l
h,45,38,29.4,56.0,7.7,30.4,0.72,26.1,2,15,12,39,11,4,69,0.65,0.51,w
a,45,62,31.6,43.8,13.3,33.3,0.70,13.7,4,15,8,25,5,4,66,0.69,1.03,l
a,42,68,28.3,55.6,12.5,30.2,0.68,14.4,2,20,8,28,4,2,63,0.67,1.10,l
a,39,80,29.4,45.5,25.0,33.3,0.69,29.3,3,16,8,27,6,5,68,0.57,1.21,l
a,37,70,19.2,52.6,25.0,26.0,0.61,26.1,2,20,13,32,5,7,65,0.57,1.04,l
h,106,74,61.9,76.7,31.2,65.9,1.37,25.5,5,14,13,38,15,19,86,1.23,0.00,w
h,90,79,46.7,83.9,42.1,53.3,1.20,21.1,6,21,11,38,5,13,81,1.12,0.94,w
h,85,71,45.9,61.9,55.2,59.0,1.20,11.0,1,23,6,26,11,16,73,1.17,0.98,w
n,81,79,41.9,75.0,30.8,48.4,1.08,20.4,3,16,9,36,9,13,83,0.97,0.94,w
h,79,53,50.9,75.0,42.3,60.9,1.26,17.8,3,22,7,27,12,19,68,1.17,0.00,w
a,78,72,49.0,72.0,47.6,58.8,1.24,18.6,4,18,6,27,7,15,70,1.12,0.99,w
h,78,87,42.2,93.3,40.0,50.0,1.10,7.2,4,15,7,21,9,12,69,1.13,1.27,l
a,75,80,44.8,84.2,33.3,50.9,1.12,16.4,0,22,6,23,12,10,73,1.03,1.18,l
h,74,73,51.1,79.2,42.9,61.1,1.31,16.0,2,17,9,18,5,11,56,1.31,1.28,w
a,72,82,37.9,85.0,22.7,41.7,0.95,18.9,3,21,11,38,5,5,80,0.91,1.05,l
n,72,82,54.4,25.0,40.0,61.4,1.18,22.3,2,23,5,25,6,11,72,1.00,1.11,l
a,71,67,51.0,66.7,37.5,60.2,1.23,15.7,4,12,4,27,8,14,64,1.12,1.03,w
h,70,65,50.0,79.3,36.8,58.8,1.30,18.4,5,20,5,24,6,10,60,1.17,1.03,w
a,70,76,53.1,56.2,56.2,62.2,1.24,17.9,5,24,6,25,5,13,62,1.14,1.24,l
n,68,60,43.4,78.3,26.7,47.2,1.06,15.5,6,15,4,31,7,11,71,0.96,0.87,w
a,67,72,39.7,77.8,31.8,45.7,1.01,15.4,2,20,6,27,10,12,72,0.94,1.04,l
h,67,71,38.2,62.5,35.7,45.6,0.93,12.9,8,21,11,27,10,13,70,0.96,1.06,l
h,67,77,44.4,64.3,41.7,53.7,1.10,19.5,1,22,11,25,5,8,62,1.09,1.23,l
a,67,79,46.6,50.0,42.1,53.4,1.07,23.1,1,14,6,30,8,15,74,0.91,1.08,l
a,66,91,44.6,57.9,26.3,49.1,1.01,22.7,2,28,7,29,6,12,75,0.88,1.17,l
n,65,61,39.6,77.8,42.9,48.1,1.06,22.5,6,18,10,32,8,12,67,0.98,0.89,w
h,64,65,39.7,71.4,39.4,50.9,1.04,18.7,4,18,9,36,4,12,64,1.00,0.97,l
a,64,69,43.6,62.5,47.8,53.6,1.09,22.5,4,22,7,29,10,14,67,0.96,0.96,l
h,64,74,35.5,87.5,28.6,40.3,0.92,16.5,2,24,9,26,9,5,73,0.88,0.98,l
a,60,71,42.2,61.5,40.0,48.9,1.05,30.3,2,22,9,37,6,8,69,0.87,1.02,l
a,60,82,41.5,66.7,21.4,47.2,1.00,28.3,1,18,12,22,6,10,67,0.89,1.26,l
h,59,83,34.5,85.7,33.3,40.5,0.91,19.3,3,18,6,25,3,9,73,0.81,1.17,l
h,59,72,36.8,70.0,34.5,45.6,0.96,20.4,4,22,7,25,9,10,69,0.86,1.04,l
h,59,72,36.8,70.0,34.5,45.6,0.96,20.4,4,22,7,25,9,10,69,0.86,1.04,l
n,58,71,35.2,62.5,45.5,44.4,0.94,20.4,1,20,7,26,11,12,69,0.85,1.04,l
a,56,71,39.2,52.4,26.3,44.1,0.92,19.4,3,23,7,22,12,13,67,0.84,1.05,l
a,54,68,32.7,72.7,34.5,41.8,0.90,24.9,2,20,9,25,10,11,68,0.79,1.04,l
a,53,58,33.8,100.0,33.3,38.5,0.80,24.1,3,21,13,30,10,7,70,0.75,0.89,l
a,48,79,32.7,66.7,26.1,38.2,0.81,31.5,3,23,7,31,7,11,76,0.63,1.16,l
a,44,77,31.2,71.4,40.0,35.4,0.81,28.5,1,14,7,33,4,10,67,0.66,1.10,l
h,126,76,57.7,90.9,61.5,74.6,1.55,14.7,3,16,6,38,13,35,88,1.43,0.87,w
n,95,77,50.8,92.3,54.3,65.9,1.37,17.3,3,18,7,32,11,24,75,1.26,1.04,w
h,91,84,47.5,72.7,36.7,56.8,1.22,14.7,1,16,11,31,4,17,75,1.22,1.14,w
a,89,92,50.0,77.8,53.6,62.5,1.30,20.1,1,20,5,25,8,20,80,1.12,1.20,l
h,89,67,57.9,66.7,55.6,71.1,1.42,18.7,2,16,6,39,4,29,70,1.28,0.95,w
h,87,83,42.1,85.7,36.0,50.0,1.18,16.5,3,19,13,32,5,15,73,1.20,1.17,w
h,87,64,59.3,70.0,43.5,67.8,1.36,11.6,8,14,3,30,6,18,69,1.27,0.88,w
a,86,72,53.7,68.0,44.0,63.9,1.31,16.7,0,23,6,24,11,13,72,1.20,1.07,w
h,86,67,50.9,64.7,40.0,60.4,1.24,10.4,5,17,9,36,6,15,67,1.28,0.98,w
a,85,81,47.6,50.0,39.4,57.9,1.14,14.9,5,21,6,33,8,18,80,1.06,1.00,w
a,82,87,43.7,64.7,34.6,50.0,1.04,11.7,7,16,11,35,9,19,77,1.06,1.15,l
a,81,86,50.0,68.2,35.3,55.0,1.15,21.9,7,23,10,35,5,13,77,1.05,1.16,l
h,81,73,48.2,78.9,52.2,58.9,1.25,20.5,6,16,7,35,4,16,73,1.11,0.95,w
a,81,62,48.4,57.9,47.6,56.5,1.14,13.9,3,14,9,34,1,19,72,1.13,0.90,w
a,80,79,47.1,64.3,36.8,52.2,1.07,18.6,3,17,9,39,8,17,81,0.99,0.97,w
h,79,76,44.3,62.5,37.0,52.5,1.09,11.5,3,11,11,31,9,20,69,1.14,1.11,w
h,79,75,46.3,80.8,36.4,53.7,1.19,20.4,3,23,8,34,6,18,73,1.08,1.04,w
a,78,68,40.0,76.5,33.3,46.4,1.00,9.7,6,13,13,37,9,14,72,1.08,0.95,w
h,78,73,47.9,59.5,40.0,58.3,1.19,13.8,3,15,3,29,7,16,73,1.08,1.01,w
a,78,58,43.1,72.0,33.3,51.7,1.12,14.3,2,13,10,24,9,15,70,1.12,0.90,w
a,77,94,43.1,70.0,30.4,48.5,1.03,21.1,6,15,7,37,5,14,86,0.90,1.07,l
h,77,64,50.0,85.7,40.7,60.2,1.27,23.2,1,17,1,25,9,17,78,0.99,0.86,w
