% 1. Title: 2015 NCAA Basketball Season
%
% 2. Sources:
%      (a) Creator: Reed Wilson
%      (b) Date: March 9, 2015

@relation 2015

@attribute location                           { h, a, n }
@attribute points_for                         real
@attribute points_against                     real
@attribute field_goal_percent                 real
@attribute free_throw_percent                 real
@attribute three_point_percent                real
@attribute efficient_field_goal_percent       real
@attribute points_per_weighted_shot           real
@attribute turnover_rate                      real
@attribute blocks                             real
@attribute fouls                              real
@attribute offensive_rebounds                 real
@attribute total_rebounds                     real
@attribute steals                             real
@attribute assists                            real
@attribute possessions                        real
@attribute offensive_points_per_possession    real
@attribute defensive_points_per_possession    real
@attribute outcome                            { w, l }

@data
h,65,78,44.8,70.0,37.5,50.0,1.04,17.3,2,12,10,30,5,10,64,1.02,1.24,l
a,65,78,40.3,66.7,32.1,47.6,0.98,14.2,2,15,6,25,6,10,70,0.93,1.09,l
h,63,86,34.6,66.7,45.5,39.4,0.93,24.0,2,21,17,35,4,9,67,0.95,1.26,l
a,63,81,38.2,75.0,32.1,46.4,1.01,15.2,0,19,7,21,5,9,66,0.96,1.24,l
a,61,94,33.3,52.2,36.8,38.9,0.83,13.3,3,15,9,30,4,9,75,0.81,1.30,l
a,59,81,40.8,86.7,46.2,46.9,1.05,19.3,2,14,6,23,4,8,62,0.95,1.22,l
h,57,66,45.2,43.5,40.9,56.0,1.08,27.5,0,20,8,27,4,13,62,0.92,1.07,l
h,56,67,37.8,59.4,21.4,41.1,0.93,22.3,1,25,8,26,3,5,67,0.83,1.04,l
h,50,51,27.0,75.0,26.9,32.5,0.73,14.1,7,12,14,34,7,12,64,0.79,0.85,l
a,50,77,50.0,53.8,25.0,53.8,1.08,18.8,2,10,3,16,4,3,53,0.94,1.41,l
h,50,68,37.0,64.0,0.0,37.0,0.86,21.6,6,17,7,28,13,3,65,0.77,0.98,l
a,50,79,34.7,45.8,31.2,39.8,0.83,17.6,1,17,9,21,4,6,62,0.80,1.29,l
a,47,70,36.7,58.3,28.6,40.8,0.86,25.5,0,18,5,14,11,7,67,0.71,1.12,l
a,47,52,37.2,71.4,31.2,43.0,0.95,27.4,1,20,10,28,5,8,55,0.86,0.96,l
a,43,79,23.2,88.2,15.4,25.0,0.67,18.3,3,27,6,21,8,7,71,0.61,1.06,l
a,34,79,31.1,33.3,33.3,35.6,0.71,21.5,0,10,4,16,3,4,56,0.61,1.43,l
h,123,65,62.9,68.4,56.2,69.3,1.40,22.6,7,26,16,45,20,27,93,1.32,0.00,w
h,106,52,61.8,64.0,35.3,66.2,1.33,18.0,11,20,16,53,13,24,78,1.36,0.00,w
h,101,38,68.5,75.0,57.1,79.6,1.59,20.9,9,24,3,35,13,27,77,1.32,0.00,w
a,94,60,56.4,83.9,27.3,61.8,1.35,15.8,5,23,11,34,11,19,70,1.35,0.83,w
h,85,43,54.4,86.7,58.8,63.2,1.33,19.4,5,18,10,44,6,23,67,1.27,0.63,w
h,79,77,47.6,54.5,41.2,53.2,1.08,14.8,3,19,16,44,3,16,67,1.17,1.14,w
h,76,45,46.6,81.0,22.7,50.9,1.12,11.1,9,19,12,43,3,18,63,1.21,0.70,w
h,74,59,57.1,80.0,37.5,62.5,1.27,17.1,2,16,10,32,7,17,58,1.27,0.98,w
a,73,48,48.1,72.7,50.0,54.8,1.17,14.2,2,13,8,40,3,12,63,1.15,0.75,w
h,72,49,57.8,63.2,40.0,66.7,1.33,13.5,0,17,9,26,6,17,52,1.38,0.90,w
h,70,49,44.0,63.3,38.9,51.0,1.09,14.7,6,23,6,33,11,13,68,1.03,0.70,w
h,69,58,53.1,64.3,33.3,61.2,1.24,17.8,3,12,5,27,3,20,62,1.12,0.96,w
a,68,63,52.8,80.6,33.3,59.7,1.34,23.4,2,23,5,24,4,12,60,1.14,1.04,w
a,67,64,48.7,54.5,41.7,55.1,1.12,25.4,4,31,7,27,7,5,71,0.95,0.94,w
a,65,51,53.2,69.2,33.3,59.6,1.22,20.6,6,21,7,27,2,13,58,1.12,0.91,w
n,65,40,48.9,84.6,50.0,57.4,1.22,16.3,3,14,7,27,5,12,55,1.18,0.70,w
a,62,49,52.5,75.0,50.0,58.8,1.25,23.1,4,17,3,31,8,12,61,1.03,0.80,w
n,61,39,47.8,70.0,40.0,58.7,1.20,27.4,3,14,11,30,6,16,55,1.11,0.71,w
a,60,56,40.4,55.0,38.9,47.1,0.98,20.2,4,24,10,29,5,12,65,0.93,0.85,w
a,60,76,32.1,65.5,29.4,36.6,0.86,19.0,3,24,10,27,9,8,74,0.81,1.01,l
a,59,52,46.3,64.0,33.3,52.4,1.12,26.2,1,21,5,25,6,7,65,0.91,0.79,w
a,59,61,45.7,50.0,44.0,57.6,1.14,19.4,4,15,6,33,2,17,57,1.04,1.03,l
a,58,44,45.7,64.3,35.0,53.3,1.10,22.2,2,22,7,31,5,8,59,0.99,0.82,w
h,58,40,51.1,66.7,33.3,55.6,1.14,19.1,7,14,4,24,9,11,58,1.01,0.67,w
a,56,67,37.7,83.3,23.8,41.8,0.88,14.3,3,18,10,29,10,12,63,0.89,1.05,l
h,55,54,37.2,70.8,23.1,44.2,1.01,28.4,3,18,9,31,3,11,63,0.87,0.87,w
a,50,59,43.5,80.0,40.0,50.0,1.03,15.0,1,19,3,13,3,11,53,0.94,1.20,l
a,47,81,29.8,69.2,6.7,30.9,0.79,20.5,6,18,5,20,6,5,68,0.69,1.25,l
a,45,65,36.5,0.0,38.9,43.3,0.84,26.8,5,22,7,31,5,9,63,0.71,1.00,l
n,40,36,33.3,58.3,14.3,36.7,0.79,18.6,5,13,7,31,9,7,54,0.75,0.68,w
h,93,58,52.5,65.6,40.0,59.0,1.22,12.6,7,20,7,41,8,16,79,1.17,0.74,w
h,87,75,55.0,61.1,62.5,63.3,1.27,14.0,10,22,7,32,3,18,72,1.22,1.00,w
h,86,50,49.3,50.0,33.3,55.5,1.11,14.1,10,19,17,47,3,14,71,1.22,0.69,w
h,84,72,50.0,81.8,61.5,56.9,1.23,15.0,6,12,12,34,6,12,66,1.26,1.09,w
a,84,88,41.3,66.7,33.3,48.0,1.01,14.2,0,24,17,40,5,12,78,1.08,1.17,l
h,83,72,51.1,76.5,42.3,63.3,1.36,14.9,6,17,4,28,2,14,67,1.24,1.10,w
a,81,80,48.4,57.9,45.5,56.5,1.14,10.8,5,20,5,24,5,19,74,1.09,1.08,w
h,79,81,42.4,72.7,31.8,47.7,1.03,14.2,4,20,16,30,6,14,70,1.12,1.16,l
h,79,43,42.4,64.3,26.3,46.2,1.00,20.2,14,20,20,53,3,11,74,1.06,0.61,w
h,78,81,47.0,75.0,29.2,52.3,1.09,12.6,3,20,9,31,6,18,72,1.09,1.10,l
h,78,65,55.3,66.7,30.8,59.6,1.24,20.9,7,24,6,37,4,11,72,1.09,0.86,w
h,76,64,37.3,64.5,30.0,41.8,0.93,13.2,7,19,16,48,5,12,76,1.00,0.85,w
a,74,65,44.8,57.1,37.5,50.0,1.04,11.9,3,18,12,46,2,11,67,1.10,0.98,w
h,73,65,43.1,70.4,23.5,46.6,1.03,11.6,4,18,10,38,4,6,69,1.06,0.94,w
a,72,63,44.3,66.7,33.3,49.2,1.04,20.7,4,21,16,35,3,9,68,1.07,0.98,w
h,71,57,41.3,76.9,34.6,48.4,1.03,14.7,7,16,11,40,7,15,68,1.04,0.82,w
h,69,53,52.1,81.8,38.5,62.5,1.30,12.9,5,6,6,23,2,15,54,1.27,1.01,w
n,69,83,55.6,60.0,57.1,66.7,1.31,32.6,3,21,5,22,2,9,71,0.98,1.12,l
h,68,50,51.9,88.9,37.5,57.7,1.21,16.9,9,14,7,31,4,10,59,1.15,0.90,w
h,68,65,37.3,66.7,23.5,40.7,0.93,12.1,5,16,15,38,3,9,66,1.03,0.98,w
a,66,61,37.0,71.9,45.0,46.7,1.08,23.4,8,17,12,39,2,9,64,1.03,0.90,w
a,63,79,32.8,71.4,27.3,37.5,0.85,13.4,3,25,16,33,5,10,67,0.94,1.22,l
a,61,66,44.9,63.2,45.5,50.0,1.05,15.5,3,19,9,28,4,11,58,1.05,1.07,l
h,60,54,42.6,66.7,37.5,48.9,1.05,18.0,4,16,7,36,2,12,61,0.98,0.85,w
a,60,65,43.3,75.0,33.3,47.5,0.97,15.6,2,21,8,29,1,12,64,0.94,1.05,l
h,60,76,45.8,69.6,0.0,45.8,1.02,20.0,2,15,11,25,4,7,60,1.00,1.21,l
a,58,46,35.1,68.8,35.0,41.2,0.90,12.6,7,13,9,36,6,9,64,0.91,0.75,w
h,57,68,28.6,68.2,42.9,33.3,0.78,15.5,4,18,19,43,6,8,64,0.88,1.03,l
h,54,55,42.2,92.3,40.0,46.7,1.06,18.3,6,13,2,32,2,9,60,0.90,0.89,l
a,51,61,37.7,22.2,42.9,46.2,0.89,18.0,4,13,7,28,3,9,61,0.83,1.04,l
h,47,51,33.3,85.7,17.6,36.0,0.78,10.3,9,15,8,26,6,7,58,0.81,0.89,l
h,105,68,63.3,93.9,60.0,75.5,1.62,19.5,5,16,7,25,7,21,72,1.47,0.96,w
a,94,75,58.6,69.2,58.6,73.3,1.46,25.6,2,21,6,31,7,12,78,1.20,1.01,w
h,74,70,51.0,60.9,44.4,58.8,1.19,28.4,12,15,9,31,6,13,74,1.00,0.94,w
h,71,74,47.5,62.5,35.7,55.9,1.13,13.9,3,21,7,21,9,16,65,1.10,1.16,l
n,70,61,46.5,71.9,41.2,54.7,1.20,21.5,6,20,7,29,8,7,65,1.07,0.93,w
h,66,62,38.9,75.9,16.7,40.7,0.97,17.6,4,29,7,28,5,11,74,0.90,0.88,w
h,66,57,48.0,55.6,38.1,56.0,1.13,19.8,4,17,6,23,10,13,66,1.01,0.87,w
a,65,53,41.8,66.7,20.0,44.5,0.98,13.2,3,20,7,23,16,13,68,0.95,0.92,w
h,64,62,43.6,72.7,29.6,50.9,1.06,16.1,4,13,8,20,9,15,62,1.03,0.96,w
h,63,67,35.8,53.8,22.9,41.8,0.86,19.7,4,14,16,33,13,16,71,0.89,0.99,l
n,62,74,43.1,66.7,50.0,51.0,1.07,22.5,2,19,10,23,6,7,62,1.00,1.18,l
n,61,69,37.7,80.0,26.3,42.5,0.98,21.4,2,19,11,29,3,5,66,0.93,1.05,l
a,61,56,33.3,69.6,26.9,39.5,0.90,24.0,0,17,11,33,18,8,75,0.81,0.72,w
a,60,69,32.8,78.6,25.0,38.3,0.85,19.1,2,24,7,27,8,13,79,0.76,0.95,l
a,60,70,37.3,63.6,42.1,45.1,0.98,17.9,0,20,11,25,5,8,61,0.98,1.11,l
a,60,81,40.4,77.8,43.8,46.5,0.98,22.4,0,23,6,23,10,14,71,0.84,1.10,l
a,58,79,44.7,64.7,33.3,50.0,1.05,34.3,5,15,11,27,9,10,67,0.87,1.13,l
a,57,85,35.8,60.9,26.3,40.6,0.89,21.8,3,20,10,27,11,9,69,0.83,1.13,l
h,56,74,30.2,62.1,33.3,35.8,0.84,19.5,2,19,9,25,8,9,72,0.78,1.10,l
n,56,49,39.1,61.1,56.2,48.9,1.03,19.8,6,19,10,23,6,10,56,1.01,0.94,w
a,55,73,48.8,66.7,38.5,54.9,1.14,30.6,2,28,5,27,9,13,62,0.89,1.04,l
a,55,42,40.0,68.4,31.6,46.7,1.02,20.3,3,19,7,24,10,13,59,0.93,0.69,w
a,54,49,34.0,82.4,25.0,37.7,0.88,17.2,2,17,13,33,5,7,58,0.93,0.85,w
a,52,85,30.9,57.1,25.0,36.4,0.80,20.3,3,23,6,23,15,9,74,0.70,1.20,l
a,51,72,31.2,63.6,30.4,38.5,0.87,23.7,4,25,7,23,9,8,67,0.76,1.02,l
a,50,56,35.6,62.5,17.6,38.1,0.80,16.7,6,24,8,26,10,6,66,0.76,0.84,l
h,48,51,45.8,25.0,10.0,46.9,0.89,21.5,6,15,10,36,7,4,56,0.86,0.86,l
a,47,80,42.5,63.6,40.0,50.0,1.04,26.7,3,18,4,13,8,12,56,0.84,1.35,l
n,46,59,37.8,80.0,26.7,42.2,0.92,28.0,1,16,6,16,9,7,61,0.76,1.08,l
a,45,69,23.1,69.7,21.1,28.2,0.82,32.0,3,16,8,25,10,3,69,0.66,1.01,l
a,43,75,32.7,72.7,7.7,33.7,0.75,25.7,4,22,11,23,11,4,62,0.69,1.12,l
a,39,74,31.7,63.6,42.9,39.0,0.84,35.8,2,18,5,17,6,7,64,0.61,1.14,l
h,104,110,43.2,71.4,40.0,50.0,1.11,16.5,3,33,13,36,7,20,97,1.07,1.20,l
h,90,77,53.4,66.7,35.3,58.6,1.22,26.8,9,24,11,34,14,20,86,1.05,0.00,w
h,84,44,49.2,66.7,28.6,54.0,1.13,18.8,3,15,14,37,22,14,74,1.13,0.00,w
h,79,72,43.6,64.1,28.6,49.1,1.07,21.3,5,18,7,31,16,11,85,0.94,0.85,w
h,75,55,45.5,68.4,36.4,56.4,1.17,15.9,2,20,6,27,10,20,69,1.09,0.80,w
a,73,83,47.2,80.0,38.9,53.8,1.17,19.9,2,24,6,21,9,17,71,1.04,1.21,l
a,73,70,39.0,81.0,47.6,47.5,1.06,22.9,8,21,15,44,11,13,70,1.04,0.95,w
h,70,65,37.3,85.3,14.3,40.2,1.04,11.7,1,21,7,31,7,5,68,1.03,0.98,w
h,70,45,48.3,75.0,25.0,52.6,1.10,18.5,3,19,11,28,15,17,65,1.08,0.66,w
a,69,61,37.0,79.3,42.9,42.6,1.02,21.8,1,18,14,39,6,9,69,1.00,0.84,w
h,69,50,41.8,66.7,40.7,51.8,1.09,14.6,2,14,11,36,9,13,62,1.12,0.80,w
a,68,73,41.7,45.0,39.1,49.2,0.98,24.5,3,23,14,34,6,12,74,0.93,0.98,l
a,66,59,41.2,64.0,44.4,49.0,1.05,10.8,6,14,5,25,8,10,65,1.02,0.93,w
h,66,63,47.7,54.8,36.8,55.7,1.12,15.7,4,18,5,23,5,13,64,1.04,0.95,w
h,64,62,31.6,67.9,40.9,39.5,0.91,22.4,3,14,15,32,7,13,71,0.90,0.92,w
h,63,77,49.0,58.8,35.7,54.1,1.10,17.9,4,22,2,10,4,13,67,0.94,1.25,l
a,63,66,35.0,70.8,28.6,38.3,0.88,21.8,2,16,14,37,12,6,73,0.86,0.94,l
a,62,64,45.2,82.4,55.6,57.1,1.24,15.4,8,13,6,18,5,8,52,1.19,1.20,l
a,61,50,42.2,77.3,37.5,48.9,1.10,18.5,4,16,7,24,8,11,59,1.03,0.89,w
a,61,81,37.7,77.8,41.2,44.3,0.99,21.9,4,25,8,25,5,9,69,0.89,1.22,l
a,61,66,39.7,70.0,29.6,46.6,0.97,24.3,1,18,13,36,4,14,66,0.93,1.05,l
h,60,81,35.1,58.6,14.3,37.7,0.85,12.4,3,23,7,19,9,9,73,0.82,1.11,l
a,57,78,40.4,57.1,35.0,47.1,0.97,15.2,4,25,3,16,4,13,66,0.87,1.23,l
a,56,74,44.4,76.9,33.3,51.1,1.09,19.9,4,13,7,21,5,11,55,1.02,1.22,l
a,56,73,41.5,83.3,33.3,48.1,1.00,24.3,1,20,6,25,5,11,66,0.85,1.07,l
a,56,65,35.5,57.1,26.7,38.7,0.82,16.3,3,18,12,33,13,7,68,0.83,0.96,l
n,55,64,32.8,46.4,23.5,36.2,0.77,19.6,2,18,14,28,6,8,71,0.77,0.98,l
a,55,67,31.2,72.4,26.7,35.4,0.89,20.9,3,18,5,28,8,7,72,0.77,1.00,l
a,51,53,34.6,82.4,5.0,35.6,0.85,16.9,3,19,11,29,6,5,59,0.86,0.90,l
h,49,61,38.1,83.3,31.8,46.4,1.03,34.1,3,16,9,30,5,13,59,0.84,0.98,l
a,45,63,34.8,66.7,21.4,38.0,0.85,21.1,0,14,12,23,2,5,52,0.86,1.27,l
h,87,36,67.3,75.0,53.3,75.0,1.51,12.8,11,19,3,31,10,22,63,1.39,0.00,w
h,82,53,66.1,33.3,50.0,72.3,1.43,21.4,9,14,6,33,5,20,65,1.25,0.00,w
h,82,88,53.6,72.2,42.9,61.6,1.27,20.4,3,15,10,26,2,19,69,1.20,1.29,l
a,80,72,53.4,60.0,40.0,58.6,1.19,16.1,9,18,10,41,7,21,69,1.17,0.99,w
a,80,49,50.0,66.7,42.1,56.5,1.16,10.6,5,17,10,37,7,15,66,1.21,0.74,w
a,78,72,51.9,66.7,66.7,61.1,1.25,23.8,5,15,8,36,3,16,72,1.09,0.99,w
h,77,55,50.9,92.3,50.0,61.3,1.30,18.7,3,19,7,35,10,19,64,1.20,0.85,w
h,75,60,46.7,90.0,55.6,55.0,1.16,11.2,10,20,9,38,4,22,63,1.20,0.92,w
h,74,62,50.8,75.0,19.0,54.0,1.11,17.0,7,16,13,34,6,15,65,1.14,0.93,w
n,72,70,46.9,76.2,62.5,57.1,1.22,22.1,4,20,6,27,7,15,68,1.06,0.96,w
a,69,72,43.6,76.2,38.5,48.2,1.06,19.1,2,20,10,29,5,12,68,1.02,1.06,l
h,69,55,54.9,50.0,70.0,61.8,1.22,21.3,7,15,5,31,6,14,66,1.05,0.83,w
h,68,62,43.2,71.9,33.3,51.1,1.15,15.8,10,16,6,32,5,15,63,1.08,0.91,w
h,68,50,48.0,88.2,31.2,53.0,1.17,21.6,5,20,11,32,4,13,60,1.13,0.80,w
a,67,69,41.9,75.0,30.0,46.8,0.99,13.6,3,15,4,26,10,12,74,0.91,0.91,l
h,67,57,46.6,80.0,50.0,54.3,1.11,17.6,8,11,9,33,5,17,62,1.07,0.85,w
h,67,58,41.7,81.8,36.4,48.3,1.03,10.1,0,15,12,34,6,12,59,1.13,0.94,w
a,67,70,51.0,60.0,64.3,59.8,1.20,14.3,5,22,2,21,7,10,63,1.07,1.12,l
a,63,56,58.3,37.5,36.4,62.5,1.22,14.3,5,13,4,27,5,16,56,1.13,0.99,w
a,63,58,39.7,72.2,33.3,43.1,0.95,14.6,3,16,8,30,7,15,69,0.92,0.86,w
a,63,72,35.4,55.0,30.0,40.0,0.85,20.9,6,24,14,37,7,11,77,0.82,0.98,l
a,63,70,39.6,81.2,57.1,47.2,1.04,22.0,3,21,4,25,7,11,73,0.87,1.08,l
a,62,63,54.8,66.7,30.8,59.5,1.23,28.1,1,18,7,25,2,7,61,1.02,1.09,l
h,62,70,35.6,69.6,16.7,39.0,0.89,17.4,4,17,13,33,12,13,69,0.90,1.01,l
a,61,80,35.5,75.0,31.2,39.5,0.88,9.4,3,21,12,33,3,10,64,0.96,1.20,l
a,56,55,39.6,76.9,21.1,43.4,0.95,19.9,4,14,11,36,4,11,60,0.93,0.89,w
h,56,75,30.4,70.4,20.0,33.0,0.81,16.7,10,13,14,32,7,8,66,0.85,1.08,l
n,55,47,40.9,61.1,53.3,50.0,1.05,25.2,4,17,5,30,6,9,64,0.87,0.76,w
a,54,71,37.0,69.2,33.3,41.7,0.90,22.0,1,24,7,24,4,12,68,0.79,1.11,l
h,88,82,54.2,76.2,36.4,61.0,1.28,7.5,5,13,7,34,2,17,67,1.31,1.20,w
a,86,75,60.9,79.2,55.0,72.8,1.50,15.8,3,16,4,25,5,15,63,1.36,1.12,w
h,82,78,57.1,78.8,61.5,66.7,1.42,20.1,2,17,6,32,3,16,65,1.27,1.18,w
h,82,73,62.8,69.2,58.8,74.4,1.48,20.8,0,18,2,26,5,16,67,1.22,1.13,w
h,82,60,58.8,93.3,61.5,66.7,1.41,23.0,0,13,8,22,11,17,65,1.26,0.89,w
h,79,72,50.0,81.8,40.0,56.5,1.28,24.1,3,16,5,36,8,15,75,1.06,0.99,w
h,77,71,52.3,65.8,54.5,59.1,1.24,12.3,3,14,5,28,4,12,65,1.18,1.15,w
h,75,72,50.0,63.3,33.3,56.0,1.17,21.7,2,19,10,34,10,11,69,1.08,1.03,w
h,74,71,47.1,76.9,37.5,52.9,1.17,16.1,4,14,6,29,6,13,68,1.08,1.05,w
a,73,81,48.3,66.7,43.8,54.2,1.11,21.1,3,15,6,32,7,17,76,0.96,1.08,l
a,72,52,50.9,88.2,18.8,53.8,1.18,19.1,5,18,6,39,6,15,68,1.06,0.75,w
h,71,74,36.8,75.0,36.4,43.9,1.01,16.4,1,23,9,26,9,16,73,0.97,1.07,l
h,71,80,42.9,61.9,33.3,51.8,1.08,17.2,3,22,13,32,5,16,64,1.11,1.30,l
a,69,63,40.7,85.0,50.0,48.1,1.09,19.3,2,16,9,35,7,8,68,1.02,0.94,w
h,68,61,41.3,68.6,37.5,47.8,1.09,13.4,0,14,11,35,8,8,60,1.14,1.01,w
a,67,54,42.1,76.9,42.9,50.0,1.06,13.8,2,18,7,31,11,14,65,1.03,0.85,w
h,65,77,40.0,77.8,21.1,44.0,1.03,19.7,2,16,10,31,4,7,66,0.99,1.16,l
h,65,84,43.8,56.2,50.0,58.3,1.17,28.1,3,14,7,25,10,12,68,0.96,1.23,l
h,63,61,51.1,61.1,37.5,57.8,1.18,25.5,3,17,4,23,6,17,67,0.95,0.94,w
a,63,61,39.6,66.7,41.2,46.9,1.04,14.6,4,20,8,26,6,12,62,1.02,0.99,w
h,61,52,59.0,63.2,30.0,62.8,1.27,22.0,2,12,2,17,7,12,59,1.03,0.89,w
a,61,50,50.0,68.2,20.0,52.3,1.12,14.2,4,12,6,24,8,12,56,1.08,0.84,w
h,59,65,42.9,52.9,40.0,51.0,1.03,11.7,3,21,4,18,5,11,60,0.98,1.16,l
a,59,82,44.0,53.3,41.2,51.0,1.03,18.0,3,14,7,24,5,11,61,0.97,1.28,l
a,58,70,40.4,56.0,27.3,46.8,0.99,26.4,4,26,6,23,12,12,72,0.81,0.96,l
n,57,74,37.0,80.0,22.7,41.7,0.93,21.8,2,12,11,28,4,10,64,0.89,1.16,l
a,56,73,39.3,72.7,19.0,42.9,0.91,28.5,1,17,11,30,4,16,70,0.80,1.03,l
a,54,74,36.7,57.9,36.8,43.9,0.93,23.1,3,16,8,31,4,5,65,0.83,1.17,l
a,54,35,46.2,65.0,27.8,52.6,1.11,29.1,3,11,7,37,8,11,59,0.92,0.59,w
h,52,79,23.6,79.2,26.9,30.0,0.78,16.1,0,17,4,29,5,8,74,0.70,1.17,l
h,51,46,38.6,50.0,7.7,39.5,0.81,21.1,2,12,14,38,6,10,62,0.83,0.82,w
h,51,79,28.3,72.2,30.8,35.8,0.83,24.4,1,15,9,22,4,9,70,0.73,1.16,l
n,97,106,39.0,78.6,32.4,45.7,1.02,11.9,2,34,14,42,8,13,92,1.05,1.15,l
a,88,80,55.6,76.9,53.3,63.0,1.33,18.5,4,23,9,31,6,6,70,1.25,1.09,w
a,79,76,47.0,70.0,41.7,54.5,1.12,13.1,4,20,11,34,5,10,69,1.15,1.09,w
h,79,51,50.9,73.3,50.0,59.6,1.23,12.7,1,15,9,31,8,18,63,1.25,0.80,w
h,78,72,45.6,73.1,36.8,51.8,1.12,16.8,9,15,10,36,4,13,71,1.09,1.01,w
h,77,84,46.4,81.0,44.4,53.6,1.17,23.0,3,25,9,27,7,9,74,1.04,1.08,l
h,77,81,39.1,65.0,35.7,46.4,0.98,19.1,7,23,15,42,9,15,79,0.98,1.04,l
h,73,68,48.9,74.1,41.2,56.4,1.22,18.0,4,22,5,34,6,9,67,1.09,0.99,w
h,73,76,41.7,73.7,39.1,49.2,1.06,10.1,4,21,7,30,6,11,69,1.06,1.11,l
a,73,69,41.8,65.6,30.0,47.3,1.04,17.8,1,26,10,42,7,13,73,1.00,0.92,w
h,73,54,47.2,64.0,38.9,53.8,1.13,19.2,2,18,6,35,7,13,73,1.00,0.76,w
a,73,76,47.0,63.6,16.7,50.0,1.02,13.0,3,18,11,34,8,14,69,1.06,1.12,l
n,72,71,45.6,76.5,33.3,51.8,1.11,15.6,4,17,11,32,9,7,64,1.12,1.05,w
a,72,89,53.7,64.3,41.7,58.3,1.19,13.9,0,23,5,20,5,7,65,1.11,1.38,l
h,69,49,46.9,66.7,36.8,54.1,1.14,17.1,4,15,7,34,5,15,64,1.07,0.76,w
h,67,77,42.3,83.3,17.6,45.2,1.06,15.6,3,28,4,26,6,9,70,0.95,1.07,l
h,64,73,41.5,72.2,35.0,48.1,1.04,13.9,4,20,6,22,5,11,65,0.99,1.12,l
h,64,51,38.7,100.0,29.2,44.4,0.97,16.3,11,20,15,38,7,11,61,1.04,0.82,w
h,64,62,37.7,71.4,21.1,41.5,0.97,16.3,5,20,10,31,6,8,67,0.95,0.93,w
n,63,61,42.4,60.0,31.8,48.3,0.99,21.8,5,19,10,28,3,10,69,0.92,0.86,w
h,63,58,42.0,76.2,35.7,47.0,1.05,21.2,9,12,8,32,10,14,66,0.96,0.81,w
h,61,58,37.0,56.7,16.7,40.7,0.89,23.9,4,18,14,47,4,4,71,0.86,0.82,w
h,61,48,43.8,60.9,38.5,49.0,1.04,27.7,4,17,12,37,5,10,65,0.94,0.73,w
a,60,66,42.6,59.1,36.8,50.0,1.04,19.2,0,24,7,24,7,7,62,0.96,1.03,l
a,58,64,38.6,61.5,27.3,43.9,0.92,14.9,3,20,6,27,3,8,67,0.86,0.91,l
a,58,60,42.2,84.2,25.0,46.7,1.07,30.1,3,20,10,31,5,4,63,0.92,0.97,l
h,56,43,43.2,64.3,42.9,53.4,1.11,26.4,2,14,6,35,5,11,61,0.92,0.66,w
a,55,75,32.2,61.1,35.3,37.3,0.81,18.7,3,22,11,33,1,7,70,0.79,1.00,l
h,47,55,38.9,100.0,15.4,40.7,0.85,10.3,3,17,3,27,5,5,58,0.80,0.95,l
a,46,50,28.8,64.7,18.5,33.7,0.77,16.9,1,20,6,32,7,8,65,0.71,0.79,l
a,39,60,27.3,12.5,29.6,34.5,0.66,23.4,6,15,13,34,4,11,60,0.65,1.00,l
h,108,64,60.0,77.3,14.3,60.7,1.26,10.2,5,16,15,50,7,27,78,1.38,0.83,w
h,103,59,50.7,75.0,25.0,53.5,1.17,10.2,5,20,18,45,9,29,78,1.32,0.76,w
h,93,83,55.4,73.3,56.2,63.4,1.32,25.2,7,19,11,40,7,22,79,1.17,1.01,w
a,90,92,45.8,60.0,20.0,47.0,0.97,12.7,4,26,17,46,9,21,87,1.04,1.11,l
n,90,72,47.8,64.3,35.3,52.2,1.09,11.5,9,16,13,42,4,21,78,1.15,0.93,w
h,89,58,50.0,71.0,36.8,55.8,1.19,22.6,5,21,13,41,8,19,80,1.12,0.75,w
h,89,60,62.3,72.7,55.6,66.4,1.34,11.6,5,13,5,32,11,26,69,1.29,0.84,w
a,87,71,60.3,63.6,33.3,62.9,1.27,15.0,4,20,6,33,10,16,73,1.18,0.96,w
h,86,64,50.8,69.6,40.0,57.4,1.20,15.8,2,20,8,39,11,22,76,1.13,0.88,w
n,82,74,44.6,63.6,23.1,46.9,1.02,17.6,6,16,15,46,5,23,80,1.03,0.93,w
a,81,49,53.1,63.6,33.3,57.8,1.17,15.7,8,18,10,35,10,17,70,1.15,0.72,w
a,81,79,55.6,69.6,62.5,60.2,1.25,17.2,4,21,7,30,8,20,70,1.16,1.12,w
a,79,68,56.9,74.1,20.0,57.8,1.24,21.3,3,20,12,35,3,16,66,1.20,0.94,w
a,79,56,49.2,69.6,21.4,51.6,1.10,23.0,2,22,15,43,8,16,74,1.07,0.77,w
n,78,56,41.8,73.7,34.8,47.8,1.03,14.5,0,25,11,31,13,15,76,1.03,0.76,w
h,78,74,48.3,64.3,25.0,50.0,1.06,7.2,4,18,9,33,4,13,69,1.13,1.03,w
h,77,84,48.3,100.0,50.0,55.2,1.20,21.7,6,19,10,31,5,16,69,1.11,1.21,l
a,76,89,49.2,60.9,26.7,52.5,1.09,6.3,2,15,10,28,3,25,64,1.19,1.43,l
h,76,60,44.3,66.7,18.2,45.9,1.01,18.6,10,24,14,47,8,15,75,1.01,0.81,w
n,75,64,45.1,74.2,50.0,51.0,1.14,24.8,7,22,11,33,9,15,73,1.03,0.93,w
a,74,50,44.4,76.5,38.5,48.4,1.04,9.7,4,18,15,47,4,20,62,1.19,0.81,w
