SIU,59.696969697,61.9393939394,41.803030303,69.5575757576,32.2666666667,46.0484848485,1.01060606061,19.6484848485,2.18181818182,18.3636363636,8.33333333333,27.8181818182,6.69696969697,8.30303030303,62.9090909091,0.947575757576,0.961212121212
PRIN,68.724137931,66.2068965517,46.3310344828,71.1965517241,37.2827586207,54.9172413793,1.16689655172,18.0931034483,3.0,18.7931034483,5.0,27.8275862069,5.55172413793,12.9655172414,65.8965517241,1.04448275862,0.97724137931
SIE,69.8064516129,73.8387096774,43.3193548387,71.9161290323,33.9709677419,47.7709677419,1.04709677419,17.7322580645,3.58064516129,20.6774193548,10.7741935484,29.2258064516,7.51612903226,13.2580645161,68.4516129032,1.02161290323,1.07225806452
CLEM,62.3666666667,61.7,41.0233333333,67.4266666667,29.59,46.08,0.991,18.02,4.73333333333,16.0666666667,10.5666666667,33.3333333333,5.36666666667,10.5666666667,64.1,0.976333333333,0.956
NDST,64.8666666667,61.9666666667,43.44,69.3666666667,37.8866666667,50.1666666667,1.075,15.1633333333,3.66666666667,15.0333333333,7.4,30.8333333333,4.9,9.83333333333,63.1666666667,1.03366666667,0.909
PITT,65.96875,65.28125,44.6,69.10625,33.709375,48.871875,1.0428125,14.59375,2.8125,16.9375,10.0625,29.6875,4.9375,16.25,61.875,1.0578125,0.97125
DRKE,59.4838709677,66.7741935484,45.6129032258,78.7129032258,38.8193548387,52.8387096774,1.13451612903,20.7967741935,1.93548387097,15.6451612903,4.96774193548,23.3870967742,4.45161290323,11.935483871,60.0322580645,0.992580645161,1.07483870968
TAM,67.4666666667,62.1,45.0966666667,66.8433333333,35.0033333333,50.3,1.06366666667,18.2233333333,2.96666666667,18.1,9.53333333333,32.4666666667,5.66666666667,14.7,66.1333333333,1.02233333333,0.944
UAB,69.2333333333,69.0,42.8633333333,74.06,33.43,47.6733333333,1.04566666667,19.52,5.2,17.9333333333,10.4333333333,33.0333333333,6.9,14.2,69.5666666667,0.997333333333,0.945333333333
MSST,61.5806451613,63.1612903226,42.9709677419,69.9096774194,30.7161290323,47.4225806452,1.04129032258,22.0483870968,2.77419354839,18.7741935484,8.74193548387,31.3870967742,6.35483870968,8.51612903226,65.1612903226,0.946774193548,0.945483870968
NCAT,59.03125,65.84375,39.946875,68.325,27.69375,44.70625,0.9803125,22.771875,3.9375,18.53125,9.8125,29.71875,5.3125,9.34375,65.71875,0.9025,0.96625
GW,67.2903225806,61.2580645161,44.5387096774,66.8193548387,34.5677419355,49.664516129,1.06451612903,18.9096774194,4.03225806452,15.4838709677,10.8387096774,33.9677419355,5.51612903226,11.7419354839,64.7419354839,1.03903225806,0.948387096774
DREX,59.5666666667,64.3333333333,39.5366666667,73.8766666667,32.6033333333,45.2433333333,0.991666666667,16.0566666667,3.66666666667,17.4333333333,7.96666666667,28.7666666667,5.13333333333,10.5666666667,62.7,0.956,0.980666666667
GU,71.3448275862,64.9655172414,46.0068965517,69.1413793103,34.8827586207,51.5448275862,1.10689655172,18.8482758621,5.06896551724,20.1379310345,10.0344827586,33.0689655172,7.62068965517,13.275862069,67.3793103448,1.06,0.956551724138
GT,62.8387096774,64.1290322581,40.8709677419,63.7709677419,27.1612903226,44.4677419355,0.947419354839,18.9064516129,3.51612903226,16.7096774194,12.0967741935,34.9677419355,5.70967741935,11.6774193548,67.0,0.936451612903,0.963225806452
GS,70.0689655172,61.5172413793,42.3551724138,66.5379310345,32.5965517241,49.0896551724,1.04310344828,17.5793103448,3.13793103448,17.1379310345,10.9310344828,33.6896551724,7.55172413793,12.0344827586,68.1379310345,1.02827586207,0.843448275862
FIU,62.3225806452,65.0322580645,44.5580645161,62.8387096774,29.4677419355,48.8516129032,1.03387096774,21.9709677419,4.58064516129,18.6451612903,7.67741935484,30.935483871,6.83870967742,11.2258064516,67.7096774194,0.925806451613,0.916129032258
BYU,84.1612903226,72.2258064516,46.9387096774,77.0677419355,37.7580645161,54.164516129,1.17677419355,15.9129032258,2.93548387097,20.1612903226,10.1290322581,35.1935483871,7.70967741935,17.1290322581,73.4516129032,1.14870967742,0.937741935484
UAPB,59.8125,66.875,40.109375,66.984375,32.715625,46.33125,0.998125,22.390625,3.375,19.4375,8.3125,25.375,8.84375,10.09375,66.46875,0.900625,1.0071875
EVAN,69.2903225806,64.6129032258,47.4677419355,74.235483871,34.2516129032,51.5225806452,1.12290322581,18.6225806452,3.67741935484,17.2580645161,6.45161290323,28.5161290323,5.61290322581,15.5483870968,67.4838709677,1.02258064516,0.940967741935
GB,69.4193548387,60.7419354839,46.8290322581,64.2870967742,30.2612903226,50.8516129032,1.06967741935,17.4,5.09677419355,18.3548387097,9.8064516129,32.2903225806,7.45161290323,14.1612903226,66.7741935484,1.03967741935,0.866129032258
BGSU,65.9655172414,61.4482758621,42.8724137931,69.5034482759,33.0103448276,48.9034482759,1.04482758621,17.5965517241,3.86206896552,16.8275862069,9.24137931034,32.0344827586,6.93103448276,12.0689655172,65.7586206897,1.00793103448,0.895172413793
MAR,60.9393939394,68.7272727273,39.9878787879,68.9303030303,31.5848484848,46.9,1.01787878788,19.8121212121,2.81818181818,18.0,6.18181818182,26.7575757576,6.93939393939,10.5757575758,67.5151515152,0.907575757576,1.02363636364
LAF,74.4838709677,72.6774193548,48.5516129032,75.2774193548,40.3387096774,55.8838709677,1.17870967742,15.7612903226,2.58064516129,15.935483871,7.70967741935,28.8064516129,5.64516129032,15.7419354839,65.9677419355,1.13129032258,1.06290322581
