% 1. Title: 2015 NCAA Basketball Tournament Matchups
%
% 2. Sources:
%      (a) Creator: Reed Wilson
%      (b) Date: April 4, 2015

@relation matchups

@attribute location                               { h, a, n }
@attribute points_for                             real
@attribute points_against                         real
@attribute field_goal_percent                     real
@attribute free_throw_percent                     real
@attribute three_point_percent                    real
@attribute efficient_field_goal_percent           real
@attribute points_per_weighted_shot               real
@attribute turnover_rate                          real
@attribute blocks                                 real
@attribute fouls                                  real
@attribute offensive_rebounds                     real
@attribute total_rebounds                         real
@attribute steals                                 real
@attribute assists                                real
@attribute possessions                            real
@attribute offensive_points_per_possession        real
@attribute defensive_points_per_possession        real
@attribute opp_points_for                         real
@attribute opp_points_against                     real
@attribute opp_field_goal_percent                 real
@attribute opp_free_throw_percent                 real
@attribute opp_three_point_percent                real
@attribute opp_efficient_field_goal_percent       real
@attribute opp_points_per_weighted_shot           real
@attribute opp_turnover_rate                      real
@attribute opp_blocks                             real
@attribute opp_fouls                              real
@attribute opp_offensive_rebounds                 real
@attribute opp_total_rebounds                     real
@attribute opp_steals                             real
@attribute opp_assists                            real
@attribute opp_possessions                        real
@attribute opp_offensive_points_per_possession    real
@attribute opp_defensive_points_per_possession    real
@attribute outcome                                { w, l }

@data
n,69.7096774194,59.9677419355,43.7161290323,67.0548387097,38.4677419355,50.1580645161,1.06516129032,19.0193548387,4.0,16.3548387097,13.2258064516,36.4516129032,7.67741935484,14.8387096774,64.8064516129,1.07806451613,0.903548387097,72.7096774194,62.5161290323,48.6419354839,71.9129032258,33.2612903226,53.4419354839,1.13741935484,15.6161290323,4.29032258065,18.3548387097,7.87096774194,30.0967741935,8.90322580645,13.935483871,66.5483870968,1.09419354839,0.901612903226,l
n,72.2580645161,65.5161290323,42.1322580645,64.7451612903,32.0387096774,48.664516129,1.02935483871,14.4322580645,4.41935483871,19.1290322581,10.5483870968,32.1612903226,10.1612903226,12.7096774194,69.8387096774,1.0364516129,0.949032258065,67.9333333333,62.2666666667,44.53,72.58,36.08,51.44,1.11066666667,18.4233333333,4.9,19.2666666667,7.53333333333,29.7666666667,8.03333333333,11.5333333333,66.1666666667,1.03066666667,0.920666666667,l
n,76.6451612903,58.9032258065,48.8,69.5161290323,35.3419354839,53.2870967742,1.14161290323,16.4483870968,3.54838709677,18.1935483871,9.8064516129,35.064516129,7.1935483871,14.1290322581,68.3548387097,1.11870967742,0.858709677419,57.8387096774,68.0967741935,39.4677419355,60.8709677419,34.8193548387,44.9612903226,0.963225806452,21.0548387097,3.48387096774,20.2580645161,8.09677419355,30.3225806452,5.38709677419,9.48387096774,65.7419354839,0.875161290323,0.982580645161,w
n,70.6129032258,64.9032258065,44.0548387097,68.5903225806,36.0967741935,50.0548387097,1.06290322581,15.8290322581,5.51612903226,17.8064516129,10.5161290323,34.6129032258,4.0,11.5483870968,66.9032258065,1.05193548387,0.970322580645,73.8064516129,67.5483870968,45.9709677419,70.2419354839,34.1290322581,50.8709677419,1.08064516129,19.6419354839,6.12903225806,15.4838709677,10.1612903226,35.7741935484,7.41935483871,15.8387096774,73.064516129,1.01483870968,0.931935483871,w
n,65.3636363636,54.303030303,48.8696969697,73.8,40.4272727273,56.9303030303,1.20151515152,17.2848484848,2.48484848485,14.3636363636,6.09090909091,28.2727272727,5.93939393939,11.9393939394,59.1818181818,1.11272727273,0.909696969697,61.7419354839,55.7741935484,46.635483871,69.0838709677,32.0548387097,52.964516129,1.12548387097,17.8322580645,3.06451612903,13.6774193548,5.16129032258,26.935483871,5.74193548387,14.6129032258,60.5806451613,1.02290322581,0.869677419355,w
n,70.3870967742,65.8387096774,44.8612903226,70.3967741935,29.0612903226,49.2225806452,1.06838709677,17.1322580645,4.74193548387,18.3870967742,9.67741935484,31.7096774194,7.22580645161,14.1290322581,68.1290322581,1.03483870968,0.974516129032,68.5,60.5333333333,46.59,68.6066666667,35.31,53.5233333333,1.14033333333,17.2666666667,2.63333333333,16.2666666667,5.76666666667,29.1333333333,6.56666666667,13.9666666667,65.8333333333,1.043,0.918333333333,l
n,72.4333333333,63.0666666667,44.1266666667,73.1333333333,35.1266666667,49.8933333333,1.07133333333,17.1766666667,5.16666666667,16.5,9.4,35.1333333333,7.06666666667,12.6666666667,70.5,1.02833333333,0.897,65.9677419355,60.5483870968,44.8290322581,72.6548387097,36.7193548387,51.2903225806,1.11612903226,18.5741935484,1.61290322581,16.5483870968,8.1935483871,30.064516129,5.70967741935,10.5483870968,63.0,1.05129032258,0.967419354839,w
n,72.1612903226,62.935483871,47.2709677419,61.6419354839,38.6709677419,54.164516129,1.11612903226,17.2548387097,4.58064516129,18.6129032258,10.4193548387,35.5483870968,5.38709677419,17.0967741935,66.1612903226,1.0935483871,0.944838709677,68.8,64.4,44.1466666667,68.6866666667,34.56,49.83,1.081,18.7966666667,4.66666666667,18.4333333333,9.33333333333,34.9666666667,5.63333333333,12.7,67.7333333333,1.01833333333,0.939666666667,w
n,65.5333333333,50.3,46.5566666667,71.7366666667,36.4766666667,51.55,1.095,15.2033333333,4.36666666667,14.0333333333,9.43333333333,33.6333333333,5.53333333333,13.1,59.7666666667,1.09733333333,0.834,74.46875,70.34375,47.634375,69.609375,38.075,56.809375,1.1803125,19.58125,2.0,16.4375,7.8125,30.5625,6.40625,15.375,68.75,1.081875,0.994375,w
n,81.2580645161,65.7096774194,50.2516129032,68.9161290323,39.5741935484,57.0677419355,1.19612903226,16.3741935484,3.67741935484,15.8709677419,11.0967741935,35.2580645161,7.22580645161,15.7419354839,68.3225806452,1.19225806452,0.951612903226,69.09375,67.875,44.946875,72.340625,38.803125,50.759375,1.085,19.49375,2.90625,18.375,8.90625,30.3125,8.40625,12.3125,68.53125,1.0146875,0.99375,w
n,62.4193548387,53.3870967742,42.2161290323,61.6483870968,32.0774193548,47.0903225806,0.996451612903,18.2419354839,5.16129032258,14.4516129032,10.5483870968,31.8709677419,7.29032258065,10.7096774194,63.935483871,0.976129032258,0.827096774194,62.1,64.6333333333,41.2766666667,62.0766666667,30.36,46.2766666667,0.974333333333,18.5233333333,4.43333333333,16.7333333333,9.76666666667,32.3,6.56666666667,12.9,66.7333333333,0.934666666667,0.971333333333,w
n,72.1,56.6333333333,48.7766666667,70.0966666667,40.93,56.3333333333,1.18066666667,17.4166666667,5.1,16.7666666667,7.93333333333,32.1666666667,6.0,14.3666666667,64.1666666667,1.121,0.854666666667,79.71875,64.25,49.528125,72.990625,39.025,56.659375,1.200625,19.65625,3.5625,21.6875,10.5,31.71875,7.90625,18.0,69.59375,1.145,0.8546875,w
n,71.3448275862,64.9655172414,46.0068965517,69.1413793103,34.8827586207,51.5448275862,1.10689655172,18.8482758621,5.06896551724,20.1379310345,10.0344827586,33.0689655172,7.62068965517,13.275862069,67.3793103448,1.06,0.956551724138,80.4838709677,73.3225806452,47.7677419355,72.364516129,40.5032258065,56.2096774194,1.18258064516,15.2741935484,5.16129032258,17.7419354839,8.87096774194,31.8387096774,6.41935483871,13.2903225806,70.0967741935,1.15129032258,0.955483870968,w
n,69.5333333333,59.8,48.6166666667,70.1166666667,36.2166666667,52.8566666667,1.12866666667,19.53,4.36666666667,16.4666666667,9.96666666667,33.6,6.96666666667,15.7333333333,64.5,1.08066666667,0.897333333333,71.4193548387,67.9032258065,43.5612903226,65.4161290323,35.0,48.7612903226,1.03838709677,16.7451612903,3.8064516129,17.7419354839,10.7096774194,35.3225806452,6.74193548387,13.9032258065,69.7419354839,1.0235483871,0.986451612903,l
n,79.3333333333,69.6,48.8466666667,69.02,37.5133333333,55.73,1.16766666667,16.0766666667,3.83333333333,15.6333333333,8.26666666667,33.5333333333,6.06666666667,16.8333333333,71.5666666667,1.10866666667,0.967,69.2333333333,69.0,42.8633333333,74.06,33.43,47.6733333333,1.04566666667,19.52,5.2,17.9333333333,10.4333333333,33.0333333333,6.9,14.2,69.5666666667,0.997333333333,0.945333333333,l
n,69.7741935484,61.7096774194,43.6129032258,73.5580645161,34.4580645161,48.7709677419,1.06774193548,16.5548387097,4.58064516129,15.8064516129,10.6774193548,34.4193548387,6.74193548387,14.5483870968,66.064516129,1.06,0.94,80.5172413793,68.2413793103,47.7448275862,69.7413793103,39.9724137931,56.8344827586,1.17965517241,13.6551724138,2.89655172414,18.9655172414,8.72413793103,32.8620689655,5.41379310345,17.3793103448,69.1034482759,1.16724137931,0.960689655172,w
n,79.0322580645,60.064516129,52.7258064516,71.1612903226,40.9419354839,59.2516129032,1.22903225806,15.8903225806,3.35483870968,16.9032258065,8.58064516129,34.2258064516,6.06451612903,16.6451612903,66.3225806452,1.19225806452,0.866774193548,64.8666666667,61.9666666667,43.44,69.3666666667,37.8866666667,50.1666666667,1.075,15.1633333333,3.66666666667,15.0333333333,7.4,30.8333333333,4.9,9.83333333333,63.1666666667,1.03366666667,0.909,w
n,74.6451612903,53.3548387097,46.9322580645,71.0096774194,34.0258064516,51.8290322581,1.11451612903,15.9193548387,6.90322580645,16.935483871,11.7419354839,35.6774193548,6.77419354839,14.8387096774,66.0322580645,1.13064516129,0.804838709677,62.5161290323,55.2258064516,45.6870967742,66.9258064516,33.7483870968,50.8451612903,1.07709677419,20.1709677419,5.48387096774,14.6774193548,9.70967741935,31.1612903226,6.70967741935,12.0322580645,61.0322580645,1.03064516129,0.897419354839,w
n,74.064516129,66.4193548387,41.1,65.1129032258,32.2806451613,46.5064516129,1.00516129032,17.8193548387,2.83870967742,23.2258064516,14.5806451613,33.1612903226,11.064516129,14.3870967742,72.1935483871,1.02935483871,0.946129032258,69.6774193548,63.0967741935,43.864516129,75.7677419355,37.064516129,51.0903225806,1.12129032258,17.6967741935,4.29032258065,16.4193548387,7.74193548387,32.4193548387,4.90322580645,10.8387096774,66.4193548387,1.05161290323,0.942580645161,w
n,69.8387096774,61.0,44.5870967742,67.7741935484,36.8290322581,49.7935483871,1.06419354839,16.4451612903,2.90322580645,17.3548387097,9.87096774194,32.5806451613,6.32258064516,11.5483870968,67.3225806452,1.04161290323,0.920322580645,78.9032258065,65.2580645161,51.0225806452,72.3161290323,39.2161290323,58.6451612903,1.22580645161,13.6387096774,3.48387096774,14.0322580645,7.29032258065,30.8064516129,6.8064516129,15.1612903226,66.3548387097,1.19193548387,0.993225806452,l
n,69.71875,55.8125,44.790625,67.315625,35.215625,51.18125,1.0859375,14.1625,3.8125,16.65625,10.125,32.03125,7.03125,13.90625,63.28125,1.10375,0.855,71.9032258065,65.0967741935,44.1064516129,70.6935483871,36.7225806452,49.5967741935,1.08258064516,17.9548387097,5.06451612903,17.6129032258,10.6451612903,35.3548387097,6.51612903226,13.5161290323,68.1935483871,1.0564516129,0.955483870968,w
n,71.6774193548,55.7419354839,47.8709677419,76.3806451613,35.264516129,54.264516129,1.15838709677,12.2225806452,3.61290322581,12.4516129032,8.41935483871,31.4516129032,4.45161290323,12.3548387097,60.8709677419,1.17709677419,0.913225806452,76.0322580645,70.1935483871,45.9129032258,75.7161290323,36.6193548387,51.9677419355,1.10870967742,16.5612903226,4.54838709677,18.1935483871,9.45161290323,34.064516129,5.67741935484,14.7741935484,71.0,1.07290322581,0.965483870968,w
n,79.0322580645,70.5161290323,45.1548387097,71.3935483871,35.4193548387,50.7677419355,1.08806451613,16.0806451613,4.87096774194,18.5806451613,11.5806451613,33.0967741935,8.0,16.8387096774,72.8387096774,1.08387096774,0.967419354839,78.1612903226,68.1935483871,47.3451612903,70.3806451613,33.9548387097,51.1516129032,1.08580645161,17.0580645161,4.61290322581,19.3548387097,12.0967741935,37.8387096774,6.83870967742,17.6774193548,72.3225806452,1.07903225806,0.954838709677,l
n,67.9333333333,62.2666666667,44.53,72.58,36.08,51.44,1.11066666667,18.4233333333,4.9,19.2666666667,7.53333333333,29.7666666667,8.03333333333,11.5333333333,66.1666666667,1.03066666667,0.920666666667,76.6451612903,58.9032258065,48.8,69.5161290323,35.3419354839,53.2870967742,1.14161290323,16.4483870968,3.54838709677,18.1935483871,9.8064516129,35.064516129,7.1935483871,14.1290322581,68.3548387097,1.11870967742,0.858709677419,l
n,72.1612903226,62.935483871,47.2709677419,61.6419354839,38.6709677419,54.164516129,1.11612903226,17.2548387097,4.58064516129,18.6129032258,10.4193548387,35.5483870968,5.38709677419,17.0967741935,66.1612903226,1.0935483871,0.944838709677,65.5333333333,50.3,46.5566666667,71.7366666667,36.4766666667,51.55,1.095,15.2033333333,4.36666666667,14.0333333333,9.43333333333,33.6333333333,5.53333333333,13.1,59.7666666667,1.09733333333,0.834,w
n,81.2580645161,65.7096774194,50.2516129032,68.9161290323,39.5741935484,57.0677419355,1.19612903226,16.3741935484,3.67741935484,15.8709677419,11.0967741935,35.2580645161,7.22580645161,15.7419354839,68.3225806452,1.19225806452,0.951612903226,62.4193548387,53.3870967742,42.2161290323,61.6483870968,32.0774193548,47.0903225806,0.996451612903,18.2419354839,5.16129032258,14.4516129032,10.5483870968,31.8709677419,7.29032258065,10.7096774194,63.935483871,0.976129032258,0.827096774194,w
n,72.1,56.6333333333,48.7766666667,70.0966666667,40.93,56.3333333333,1.18066666667,17.4166666667,5.1,16.7666666667,7.93333333333,32.1666666667,6.0,14.3666666667,64.1666666667,1.121,0.854666666667,71.3448275862,64.9655172414,46.0068965517,69.1413793103,34.8827586207,51.5448275862,1.10689655172,18.8482758621,5.06896551724,20.1379310345,10.0344827586,33.0689655172,7.62068965517,13.275862069,67.3793103448,1.06,0.956551724138,w
n,71.4193548387,67.9032258065,43.5612903226,65.4161290323,35.0,48.7612903226,1.03838709677,16.7451612903,3.8064516129,17.7419354839,10.7096774194,35.3225806452,6.74193548387,13.9032258065,69.7419354839,1.0235483871,0.986451612903,69.2333333333,69.0,42.8633333333,74.06,33.43,47.6733333333,1.04566666667,19.52,5.2,17.9333333333,10.4333333333,33.0333333333,6.9,14.2,69.5666666667,0.997333333333,0.945333333333,w
n,69.7741935484,61.7096774194,43.6129032258,73.5580645161,34.4580645161,48.7709677419,1.06774193548,16.5548387097,4.58064516129,15.8064516129,10.6774193548,34.4193548387,6.74193548387,14.5483870968,66.064516129,1.06,0.94,79.0322580645,60.064516129,52.7258064516,71.1612903226,40.9419354839,59.2516129032,1.22903225806,15.8903225806,3.35483870968,16.9032258065,8.58064516129,34.2258064516,6.06451612903,16.6451612903,66.3225806452,1.19225806452,0.866774193548,l
n,74.6451612903,53.3548387097,46.9322580645,71.0096774194,34.0258064516,51.8290322581,1.11451612903,15.9193548387,6.90322580645,16.935483871,11.7419354839,35.6774193548,6.77419354839,14.8387096774,66.0322580645,1.13064516129,0.804838709677,74.064516129,66.4193548387,41.1,65.1129032258,32.2806451613,46.5064516129,1.00516129032,17.8193548387,2.83870967742,23.2258064516,14.5806451613,33.1612903226,11.064516129,14.3870967742,72.1935483871,1.02935483871,0.946129032258,w
n,78.9032258065,65.2580645161,51.0225806452,72.3161290323,39.2161290323,58.6451612903,1.22580645161,13.6387096774,3.48387096774,14.0322580645,7.29032258065,30.8064516129,6.8064516129,15.1612903226,66.3548387097,1.19193548387,0.993225806452,69.71875,55.8125,44.790625,67.315625,35.215625,51.18125,1.0859375,14.1625,3.8125,16.65625,10.125,32.03125,7.03125,13.90625,63.28125,1.10375,0.855,w
n,71.6774193548,55.7419354839,47.8709677419,76.3806451613,35.264516129,54.264516129,1.15838709677,12.2225806452,3.61290322581,12.4516129032,8.41935483871,31.4516129032,4.45161290323,12.3548387097,60.8709677419,1.17709677419,0.913225806452,78.1612903226,68.1935483871,47.3451612903,70.3806451613,33.9548387097,51.1516129032,1.08580645161,17.0580645161,4.61290322581,19.3548387097,12.0967741935,37.8387096774,6.83870967742,17.6774193548,72.3225806452,1.07903225806,0.954838709677,w
n,81.2580645161,65.7096774194,50.2516129032,68.9161290323,39.5741935484,57.0677419355,1.19612903226,16.3741935484,3.67741935484,15.8709677419,11.0967741935,35.2580645161,7.22580645161,15.7419354839,68.3225806452,1.19225806452,0.951612903226,72.1,56.6333333333,48.7766666667,70.0966666667,40.93,56.3333333333,1.18066666667,17.4166666667,5.1,16.7666666667,7.93333333333,32.1666666667,6.0,14.3666666667,64.1666666667,1.121,0.854666666667,w
n,71.4193548387,67.9032258065,43.5612903226,65.4161290323,35.0,48.7612903226,1.03838709677,16.7451612903,3.8064516129,17.7419354839,10.7096774194,35.3225806452,6.74193548387,13.9032258065,69.7419354839,1.0235483871,0.986451612903,79.0322580645,60.064516129,52.7258064516,71.1612903226,40.9419354839,59.2516129032,1.22903225806,15.8903225806,3.35483870968,16.9032258065,8.58064516129,34.2258064516,6.06451612903,16.6451612903,66.3225806452,1.19225806452,0.866774193548,l
n,74.6451612903,53.3548387097,46.9322580645,71.0096774194,34.0258064516,51.8290322581,1.11451612903,15.9193548387,6.90322580645,16.935483871,11.7419354839,35.6774193548,6.77419354839,14.8387096774,66.0322580645,1.13064516129,0.804838709677,78.9032258065,65.2580645161,51.0225806452,72.3161290323,39.2161290323,58.6451612903,1.22580645161,13.6387096774,3.48387096774,14.0322580645,7.29032258065,30.8064516129,6.8064516129,15.1612903226,66.3548387097,1.19193548387,0.993225806452,w
n,71.6774193548,55.7419354839,47.8709677419,76.3806451613,35.264516129,54.264516129,1.15838709677,12.2225806452,3.61290322581,12.4516129032,8.41935483871,31.4516129032,4.45161290323,12.3548387097,60.8709677419,1.17709677419,0.913225806452,76.6451612903,58.9032258065,48.8,69.5161290323,35.3419354839,53.2870967742,1.14161290323,16.4483870968,3.54838709677,18.1935483871,9.8064516129,35.064516129,7.1935483871,14.1290322581,68.3548387097,1.11870967742,0.858709677419,w
n,81.2580645161,65.7096774194,50.2516129032,68.9161290323,39.5741935484,57.0677419355,1.19612903226,16.3741935484,3.67741935484,15.8709677419,11.0967741935,35.2580645161,7.22580645161,15.7419354839,68.3225806452,1.19225806452,0.951612903226,79.0322580645,60.064516129,52.7258064516,71.1612903226,40.9419354839,59.2516129032,1.22903225806,15.8903225806,3.35483870968,16.9032258065,8.58064516129,34.2258064516,6.06451612903,16.6451612903,66.3225806452,1.19225806452,0.866774193548,w
